epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,23184.4,0.1932,1.28049,0.89035,0.94727,0.0013,0.01303,0.01303,nan,nan,nan,0.00494,0.00494,0.00494
48,23676.3,0.19419,1.27839,0.88991,0.94742,0.0013,0.01303,0.01303,nan,nan,nan,0.00483,0.00483,0.00483
49,24169.9,0.19076,1.2716,0.88841,0.94737,0.0013,0.01303,0.01303,nan,nan,nan,0.00472,0.00472,0.00472
50,24662.2,0.19005,1.2728,0.88944,0.94725,0.0013,0.01303,0.01303,nan,nan,nan,0.00461,0.00461,0.00461
51,25156.4,0.1923,1.27239,0.88926,0.94697,0.0013,0.01303,0.01303,nan,nan,nan,0.0045,0.0045,0.0045
52,25649.8,0.1846,1.27016,0.8878,0.94718,0.0013,0.01203,0.01203,nan,nan,nan,0.00439,0.00439,0.00439
53,26141.3,0.18471,1.25507,0.88807,0.94694,0.0013,0.01303,0.01303,nan,nan,nan,0.00428,0.00428,0.00428
54,26632.9,0.18375,1.26156,0.88928,0.94694,0.0013,0.01721,0.01721,nan,nan,nan,0.00417,0.00417,0.00417
55,27124.9,0.18261,1.2556,0.88846,0.94681,0.0013,0.01437,0.01437,nan,nan,nan,0.00406,0.00406,0.00406
56,27612.6,0.18091,1.25787,0.88682,0.94662,0.0013,0.01239,0.01239,nan,nan,nan,0.00395,0.00395,0.00395
57,28104.7,0.17925,1.2451,0.88648,0.94657,0.0013,0.01239,0.01239,nan,nan,nan,0.00384,0.00384,0.00384
58,28598.7,0.17578,1.24704,0.88706,0.94657,0.0013,0.01139,0.01139,nan,nan,nan,0.00373,0.00373,0.00373
59,29090.9,0.17707,1.23513,0.88653,0.94626,0.0013,0.01303,0.01303,nan,nan,nan,0.00362,0.00362,0.00362
60,29585.2,0.17391,1.23732,0.88569,0.94622,0.0013,0.01303,0.01303,nan,nan,nan,0.00351,0.00351,0.00351
61,30077.2,0.17089,1.2393,0.88753,0.94637,0.0013,0.01533,0.01533,nan,nan,nan,0.0034,0.0034,0.0034
62,30569.1,0.16976,1.23489,0.88668,0.94643,0.0013,0.01533,0.01533,nan,nan,nan,0.00329,0.00329,0.00329
63,31063.3,0.16752,1.23214,0.8848,0.94644,0.0013,0.01693,0.01693,nan,nan,nan,0.00318,0.00318,0.00318
64,31552.1,0.16544,1.2221,0.88526,0.94625,0.0013,0.01693,0.01693,nan,nan,nan,0.00307,0.00307,0.00307
65,32037.9,0.16614,1.22123,0.88638,0.94604,0.0013,0.01693,0.01693,nan,nan,nan,0.00296,0.00296,0.00296
66,32523.5,0.16315,1.22806,0.88615,0.94578,0.0013,0.01881,0.01881,nan,nan,nan,0.00285,0.00285,0.00285
67,33009,0.15887,1.22107,0.88555,0.94568,0.0013,0.01721,0.01721,nan,nan,nan,0.00274,0.00274,0.00274
68,33494.4,0.15597,1.21147,0.88464,0.94526,0.0013,0.01881,0.01881,nan,nan,nan,0.00263,0.00263,0.00263
69,33985.8,0.15535,1.2149,0.88314,0.94514,0.0013,0.01881,0.01881,nan,nan,nan,0.00252,0.00252,0.00252
70,34476.4,0.15135,1.20756,0.88472,0.94508,0.0013,0.01881,0.01881,nan,nan,nan,0.00241,0.00241,0.00241
71,34967.7,0.15079,1.20678,0.88294,0.94497,0.0013,0.01881,0.01881,nan,nan,nan,0.0023,0.0023,0.0023
72,35458.8,0.1479,1.20208,0.88393,0.94506,0.0013,0.01881,0.01881,nan,nan,nan,0.00219,0.00219,0.00219
73,35944.4,0.1445,1.19692,0.88241,0.94507,0.0013,0.01881,0.01881,nan,nan,nan,0.00208,0.00208,0.00208
74,36434,0.14289,1.19759,0.88196,0.94512,0.0013,0.01881,0.01881,nan,nan,nan,0.00197,0.00197,0.00197
75,36923.1,0.14285,1.18738,0.88362,0.94507,0.0013,0.01881,0.01881,nan,nan,nan,0.00186,0.00186,0.00186
76,37408.4,0.13977,1.19757,0.88228,0.94507,0.0013,0.01881,0.01881,nan,nan,nan,0.00175,0.00175,0.00175
77,37898.7,0.13566,1.18247,0.8808,0.94484,0.0013,0.01881,0.01881,nan,nan,nan,0.00164,0.00164,0.00164
78,38384.2,0.13408,1.18906,0.8818,0.94483,0.0013,0.01881,0.01881,nan,nan,nan,0.00153,0.00153,0.00153
79,38869.7,0.13104,1.18085,0.88201,0.94485,0.0013,0.01881,0.01881,nan,nan,nan,0.00142,0.00142,0.00142
80,39361.3,0.12741,1.18106,0.8815,0.9448,0.0013,0.01881,0.01881,nan,nan,nan,0.00131,0.00131,0.00131
81,39886.1,0.15955,0.34755,0.86713,0.9448,0.0013,0.02482,0.02482,nan,nan,nan,0.0012,0.0012,0.0012
82,40371.3,0.13575,0.31554,0.86312,0.94475,0.0013,0.02482,0.02482,nan,nan,nan,0.00109,0.00109,0.00109
83,40864.6,0.12628,0.304,0.8608,0.94464,0.0013,0.02482,0.02482,nan,nan,nan,0.00098,0.00098,0.00098
84,41349.6,0.12101,0.29606,0.86181,0.94456,0.0013,0.02482,0.02482,nan,nan,nan,0.00087,0.00087,0.00087
85,41834.7,0.11493,0.29336,0.85757,0.94433,0.0013,0.02482,0.02482,nan,nan,nan,0.00076,0.00076,0.00076
86,42319.9,0.10981,0.28516,0.85564,0.94425,0.0013,0.02482,0.02482,nan,nan,nan,0.00065,0.00065,0.00065
87,42813.1,0.10457,0.27793,0.85775,0.94433,0.0013,0.02482,0.02482,nan,nan,nan,0.00054,0.00054,0.00054
88,43298.1,0.10303,0.27266,0.85739,0.94441,0.0013,0.02482,0.02482,nan,nan,nan,0.00043,0.00043,0.00043
89,43785.7,0.09826,0.2701,0.85638,0.94444,0.0013,0.02482,0.02482,nan,nan,nan,0.00032,0.00032,0.00032
90,44273.4,0.09519,0.26389,0.85645,0.94442,0.0013,0.02482,0.02482,nan,nan,nan,0.00021,0.00021,0.00021
